,gouv,nbre_demaisonsdeculture,nbre_demedecins,nbre_decrimes
0,ariana,124.0,2.0,322.0
1,kasserine,23.0,13.0,121.0
2,kairouan,41.0,11.0,99.0
3,le kef,25.0,10.0,458.0
4,monastir,46.0,15.0,115.0
5,mehdia,,14.0,
6,beja,30.0,10.0,152.0
7,ben arous,128.0,9.0,
8,bizerte,79.0,9.0,337.0
9,tataouine,5.0,6.0,
10,tunis,860.0,26.0,
11,touzeur,,5.0,
12,jendouba,15.0,9.0,243.0
13,zaghouan,7.0,4.0,
14,siliana,4.0,8.0,
15,sousse,168.0,9.0,1261.0
16,sidi bouzid,12.0,7.0,99.0
17,sfax,316.0,14.0,595.0
18,gabes,52.0,9.0,199.0
19,kebili,4.0,4.0,
20,gafsa,21.0,8.0,286.0
21,medenine,76.0,8.0,564.0
22,manouba,24.0,5.0,
23,nabeul,135.0,10.0,708.0
24,mahdia,25.0,,
