,Unnamed: 0,gouv,nbre_demaisonsdeculture,nbre_demedecins,nbre_decrimes,Pourcentage bac,pourcentage_culture,pourcentage_educ,pourcentage_sante,pourcentage_securite
0,0,ariana,124.0,2.0,322.0,44.21,5.585585585585585,44.21,0.8888888888888888,14.504504504504503
1,1,kasserine,23.0,13.0,121.0,19.07,1.0360360360360361,19.07,5.777777777777778,5.45045045045045
2,2,kairouan,41.0,11.0,99.0,26.7,1.8468468468468466,26.7,4.888888888888889,4.45945945945946
3,3,le kef,25.0,10.0,458.0,25.61,1.1261261261261262,25.61,4.444444444444445,20.63063063063063
4,4,monastir,46.0,15.0,115.0,45.41,2.0720720720720722,45.41,6.666666666666667,5.18018018018018
5,5,mehdia,,14.0,,39.51,,39.51,6.222222222222222,
6,6,beja,30.0,10.0,152.0,29.12,1.3513513513513513,29.12,4.444444444444445,6.846846846846846
7,7,ben arous,128.0,9.0,,38.04,5.7657657657657655,38.04,4.0,
8,8,bizerte,79.0,9.0,337.0,35.06,3.558558558558558,35.06,4.0,15.18018018018018
9,9,tataouine,5.0,6.0,,24.64,0.22522522522522523,24.64,2.666666666666667,
10,10,tunis,860.0,26.0,,39.98,38.73873873873874,39.98,11.555555555555555,
11,11,touzeur,,5.0,,28.36,,28.36,2.2222222222222223,
12,12,jendouba,15.0,9.0,243.0,23.13,0.6756756756756757,23.13,4.0,10.945945945945947
13,13,zaghouan,7.0,4.0,,30.33,0.3153153153153153,30.33,1.7777777777777777,
14,14,siliana,4.0,8.0,,25.49,0.18018018018018017,25.49,3.5555555555555554,
15,15,sousse,168.0,9.0,1261.0,41.04,7.567567567567568,41.04,4.0,56.8018018018018
16,16,sidi bouzid,12.0,7.0,99.0,24.72,0.5405405405405406,24.72,3.111111111111111,4.45945945945946
17,17,sfax,316.0,14.0,595.0,51.55,14.234234234234233,51.55,6.222222222222222,26.8018018018018
18,18,gabes,52.0,9.0,199.0,32.86,2.3423423423423424,32.86,4.0,8.963963963963964
19,19,kebili,4.0,4.0,,24.09,0.18018018018018017,24.09,1.7777777777777777,
20,20,gafsa,21.0,8.0,286.0,23.15,0.945945945945946,23.15,3.5555555555555554,12.882882882882882
21,21,medenine,76.0,8.0,564.0,38.92,3.423423423423423,38.92,3.5555555555555554,25.405405405405407
22,22,manouba,24.0,5.0,,32.7,1.0810810810810811,32.7,2.2222222222222223,
23,23,nabeul,135.0,10.0,708.0,38.79,6.081081081081082,38.79,4.444444444444445,31.891891891891895
24,24,mahdia,25.0,,,39.51,1.1261261261261262,39.51,,
